"","COD_ID","Q4_PS","Q5_PS","Q6_PS","Q7_PS","Q8_PS","Q9_PS","Q10_PS","Q11_PS","Q12_PS","Q7_Q10_PS","Q8_Q11_PS","Q9_Q12_PS","Q13_DC","Q14_DC","Q15_DC","Q16_DC","Q17_DC","Q18_EI","Q19_EI","Q20_EI","Q21_EI","Q22_EI","Q23_EI","Q24_EI","Q25_EI","Q26_WE","Q27_WE","Q28_WE","Q29_WE","Q30_WE","Q31_WE","Q32_WE","Q33_WE","Q34_GP","Q35_AP","Q36_GP","Q37_GP","Q38_AGE_GP","Q38_RACE_GP","Q38_sOCIO_GP","Q38_GEO_GP","Q38_FAM_GP","Q38_TEAC_GP","Q38_ADM_GP","Q38_JOB_GP","Q38_FUND_GP","Q38_RESOURCE_GP","Q38_GENDER_GP","Q39_GP","Q40_P","Q41_P","Q42_P","Q43_P","Q44_P","Q45_S","Q46_S","GENDER_CAT","ACD_OCC","C_STAGE_CAT"
"69","R115","Mulher cisgênera","White","30-39","Brasil","Pará","Belém","Brasil","Pará","Belém",TRUE,TRUE,TRUE,"Yes","Não se aplica","Companheiro(a)/outra pessoa significativa mudou-se comigo, com efeitos negativos mínimos sobre relação","Com minha/meu companheira/o","São feitas por mim","Oceanografia","TCC na área de ecologia, Mestrado na área de ecologia (concluído ou em andamento), Doutorado na área de ecologia (concluído ou em andamento)","Professor visitante","Menos de 1 ano",">10 minimum salary","Public university","No","NA","Indifferent","Both","Não há distinção entre contratação e promoção de homens e mulheres","Mulheres são facilmente selecionadas para cargos de coordenação","No","Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal","Acelerador","Neutro","Acelerador","Acelerador","Grande Acelerador","Não impactou","Acelerador","Grande Acelerador","Não impactou","Não impactou","Acelerador","1-3.9","No","NA","Yes","Yes","Não tenho filhos","Unsucessfull","No","Women","Professor","Junior"
"70","R116","Mulher cisgênera","Asian","30-39","Brasil","São Paulo","São José dos Campos","Brasil","São Paulo","São José dos Campos",TRUE,TRUE,TRUE,"No","Aumento significativo no meu cargo e/ou salário, Mudança de companheiro(a)/outra pessoa significativa, Escolha de programa de pós-graduação, Maior ênfase na pesquisa, Morar mais perto de parentes e amigos","Companheiro(a)/outra pessoa significativa mudou-se comigo, com efeitos negativos mínimos sobre relação","Com minha/meu companheira/o","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","TCC na área de ecologia, Mestrado na área de ecologia (concluído ou em andamento), Doutorado na área de ecologia (concluído ou em andamento), Especialização em ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","3-5 minimum salary","Public university","Yes","Bióloga de uma ONG","Indifferent","Both","Não há distinção entre contratação e promoção de homens e mulheres","Prefiro não responder","Yes","Algum homem já levou o crédito pelo trabalho feito por você., Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.)., Você já sofreu alguma discriminação por estar grávida ou por ser mulher e poder engravidar.","No","NA","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal, Companhia","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","Grande impedimento","Neutro","Impedimento","Impedimento","Neutro","1-3.9","No","NA","Yes","Yes","Não tenho filhos","Em construção","Didnt answer","Women","Master_PhD_Candidate","Junior"
"71","R117","Mulher cisgênera","Mixed","30-39","Brasil","Mato Grosso","Barra do Garças","Brasil","Mato Grosso","Rondonópolis",TRUE,TRUE,FALSE,"Yes","Mudança de companheiro(a)/outra pessoa significativa","Não se aplica","Com minha/meu companheira/o","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","TCC na área de ecologia, Mestrado na área de ecologia (concluído ou em andamento), Doutorado na área de ecologia (concluído ou em andamento)","Professor(a) adjunta","Menos de 1 ano","3-5 minimum salary","Public university","No","NA","Indifferent","Both","Não há distinção entre contratação e promoção de homens e mulheres","Não há distinção entre proporção de homens e mulheres, Não há distinção entre homens e mulheres para cargos de coordenação","No","Algum homem já levou o crédito pelo trabalho feito por você., Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Men","The person made a small contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal, Companhia","Neutro","Neutro","Impedimento","Impedimento","Neutro","Impedimento","Não impactou","Impedimento","Impedimento","Impedimento","Impedimento","1-3.9","No","NA","Yes","Yes","Não tenho filhos","Sucessfull","Yes","Women","Professor","Junior"
"72","R118","Mulher cisgênera","White","30-39","Brasil","Paraná","Ubiratã","Brasil","São Paulo","Rio Claro",TRUE,FALSE,FALSE,"Yes","Escolha de programa de pós-graduação, Maior ênfase na pesquisa","Não se aplica","Sozinho(a)","São feitas por mim","Ciências Biológicas","Doutorado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","2-3 minimum salary","Public university","No","NA","Primordially female","Women","Homens são facilmente contratados e/ou promovidos","Há mais homens que mulheres em meu departamento, Homens são facilmente selecionados para cargos de coordenação","No","Algum homem já levou o crédito pelo trabalho feito por você., Você já perdeu alguma promoção/benefício (bolsa produtividade) para algum homem, mesmo que tenha se empenhado igualmente., Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que o seu gênero foi decisivo ao não conseguir algum trabalho de liderança.","Yes","A situação não foi exposta., O assediador era meu chefe/orientador.","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico,","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal, Companhia, Alternativa para proporcionar experiência educacional","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","Grande impedimento","Grande impedimento","Grande impedimento","1-3.9","No","NA","No","No","Não tenho filhos","Unsucessfull","No","Women","Master_PhD_Candidate","Junior"
"73","R120","Mulher cisgênera","Mixed","30-39","Brasil","Maranhão","Luiz Domingues","Brasil","Pará","Brasil Novo",TRUE,FALSE,FALSE,"No","Não se aplica","Não se aplica","Com minha(s)/meu(s) filha(s)/filho(s)","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","Mestrado na área de ecologia (concluído ou em andamento)","Pesquisador(a) em instituição de pesquisa","1 a 3 anos","2-3 minimum salary","Public research institution","Yes","Pensão por morte do cônjuge - INSS","Indifferent","Both","Homens são facilmente contratados e/ou promovidos, Não há distinção entre contratação e promoção de homens e mulheres","Não há distinção entre proporção de homens e mulheres","No","Você já perdeu alguma promoção/benefício (bolsa produtividade) para algum homem, mesmo que tenha se empenhado igualmente., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.)., Você já sofreu alguma discriminação por estar grávida ou por ser mulher e poder engravidar.","Yes","Prefiro não responder","Men","The person made a small contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal","Neutro","Neutro","Grande impedimento","Neutro","Grande impedimento","Acelerador","Neutro","Neutro","Impedimento","Impedimento","Impedimento","1-3.9","Yes","3","No","No","Contratei alguém para cuidar da(s) criança(s) em casa ou em outro lugar que não seja o campo, Enviei a(s) criança(s) para um(a) amigo(a) ou alguém da minha família cuidar.","Unsucessfull","No","Women","Researcher","Junior"
"74","R121","Mulher cisgênera","Mixed","30-39","Brasil","Pará","Santarém","Brasil","Pará","Santarém",TRUE,TRUE,TRUE,"No","Não se aplica","Não se aplica","Com minha(s)/meu(s) filha(s)/filho(s)","São feitas por mim","Engenharia de Pesca","Mestrado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","1-2 minimum salary","Public university","No","NA","Indifferent","Both","Homens são facilmente contratados e/ou promovidos","Não há distinção entre proporção de homens e mulheres","No","Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião.","No","NA","Men","The person didnt affect  my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal, Companhia","Não impactou","Não impactou","Grande impedimento","Não impactou","Grande impedimento","Não impactou","Não impactou","Grande impedimento","Grande impedimento","Não impactou","Não impactou","1-3.9","Yes","5","No","No","Contratei alguém para cuidar da(s) criança(s) em casa ou em outro lugar que não seja o campo","Sucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"75","R123","Mulher cisgênera","Asian","30-39","Brasil","Minas Gerais","Palma","Brasil","Minas Gerais","São João del Rei -",TRUE,TRUE,FALSE,"Yes","Escolha de programa de pós-graduação","Companheiro(a)/outra pessoa significativa não se mudou comigo e o relacionamento sofreu efeitos adversos","Em república/pensionato/etc.","São feitas por mim","Ciências Biológicas","Mestrado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","1-2 minimum salary","Public university","No","NA","Indifferent","Both","Não há distinção entre contratação e promoção de homens e mulheres","Não há distinção entre proporção de homens e mulheres","Yes","Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Men","The person made a small contribution to my success","Ainda estou no meio acadêmico","Preocupações com a segurança pessoal","Neutro","Neutro","Neutro","Impedimento","Impedimento","Neutro","Neutro","Neutro","Grande impedimento","Impedimento","Neutro","1-3.9","No","NA","Yes","No","Não tenho filhos","Em construção","Yes","Women","Master_PhD_Candidate","Junior"
"76","R124","Mulher cisgênera","White","20-29","Brasil","Paraná","Curitiba","Brasil","Paraná","Curitiba",TRUE,TRUE,TRUE,"Yes","Não se aplica","Não se aplica","Com amiga/o(s) ou colega/o(s)","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","Mestrado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","Menos de 1 ano","2-3 minimum salary","Public university","Yes","Estagiária de Educação Ambiental do Zoo de Curitiba","Primordially female","Women","Homens são facilmente contratados e/ou promovidos","Há mais homens que mulheres em meu departamento, Não há distinção entre homens e mulheres para cargos de coordenação","Yes","Algum homem já levou o crédito pelo trabalho feito por você., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que o seu gênero foi decisivo ao não conseguir algum trabalho de liderança., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Women","The person made a small contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Alternativa para proporcionar experiência educacional","Não impactou","Não impactou","Impedimento","Grande Acelerador","Neutro","Neutro","Neutro","Neutro","Grande impedimento","Impedimento","Neutro","1-3.9","No","NA","No","Yes","Não tenho filhos","Sucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"77","R126","Mulher cisgênera","White","30-39","Brasil","Paraná","Curitiba","Brasil","Paraná","Curitiba",TRUE,TRUE,TRUE,"Yes","Única oferta de emprego que tive, Bolsa de doutorado sanduíche","Companheiro(a)/outra pessoa não se mudou, mas o relacionamento permaneceu intacto, Companheiro(a)/outra pessoa significativa se mudou comigo, mas com problemas significativos na carreira do cônjuge/outra pessoa significativa","Com minha/meu companheira/o","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","TCC na área de ecologia, Mestrado na área de ecologia (concluído ou em andamento), Doutorado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","3 a 6 anos","2-3 minimum salary","Public university","No","NA","Primordially female","Women","Não há distinção entre contratação e promoção de homens e mulheres","Há mais homens que mulheres em meu departamento","Yes","Algum homem já levou o crédito pelo trabalho feito por você., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.)., Você já sofreu alguma discriminação por estar grávida ou por ser mulher e poder engravidar.","No","NA","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Não se aplica","Impedimento","Neutro","Acelerador","Acelerador","Neutro","Neutro","Neutro","Impedimento","Impedimento","Impedimento","Neutro","1-3.9","No","NA","Yes","Didnt answer","Não tenho filhos","Sucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"78","R127","Mulher cisgênera","White","30-39","Brasil","Pará","Belém","Brasil","Pará","Belém",TRUE,TRUE,TRUE,"Yes","Não se aplica","Não se aplica","Com minha família de origem/parentes (mãe, pai, irmã/o, tia/o, prima/o, etc)","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","Mestrado na área de ecologia (concluído ou em andamento), Doutorado em área correlata, com tese voltada a área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","2-3 minimum salary","Public research institution","No","NA","Indifferent","Both","Homens são facilmente contratados e/ou promovidos, Mulheres não são facilmente contratadas e/ou promovidas","Não há distinção entre proporção de homens e mulheres","No","Algum homem já levou o crédito pelo trabalho feito por você., Você já perdeu alguma promoção/benefício (bolsa produtividade) para algum homem, mesmo que tenha se empenhado igualmente., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","Yes","Você foi coagida a não expor o assédio., A situação não foi exposta., O assediador era meu chefe/orientador.","Men","The person made a small contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência","Neutro","Não impactou","Não impactou","Não impactou","Grande impedimento","Grande impedimento","Não impactou","Não impactou","Grande impedimento","Grande impedimento","Neutro","1-3.9","No","NA","Yes","Yes","Não tenho filhos","Sucessfull","No","Women","Master_PhD_Candidate","Junior"
"79","R128","Mulher cisgênera","Mixed","30-39","Brasil","Paraná","Guaraniaçu","Brasil","Pará","Belém",TRUE,FALSE,FALSE,"Yes","Única oferta de emprego que tive","Não se aplica","Sozinho(a)","São feitas por mim","Ciências Biológicas","Doutorado na área de ecologia (concluído ou em andamento)","Pesquisador(a) pós-doutorado","1 a 3 anos","3-5 minimum salary","Public university","No","NA","Primordially female","Women","Homens são facilmente contratados e/ou promovidos, Mulheres não são facilmente contratadas e/ou promovidas","Há mais homens que mulheres em meu departamento, Homens são facilmente selecionados para cargos de coordenação","Yes","Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","Yes","A situação não foi exposta.","Men","The person made a small contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência","Acelerador","Neutro","Impedimento","Neutro","Neutro","Neutro","Neutro","Impedimento","Impedimento","Neutro","Impedimento","1-3.9","No","NA","Yes","No","Não tenho filhos","Very unsucessfull","Yes","Women","Researcher","Junior"
"80","R129","Mulher cisgênera","White","30-39","Brasil","São Paulo","Campinas","Brasil","São Paulo","Rio Claro",TRUE,TRUE,FALSE,"Yes","Escolha de programa de pós-graduação","Companheiro(a)/outra pessoa significativa se mudou comigo, mas com problemas significativos na carreira do cônjuge/outra pessoa significativa","Com minha/meu companheira/o, Com minha(s)/meu(s) filha(s)/filho(s)","São feitas por mim","Ciências Biológicas","Doutorado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","6 a 9 anos","2-3 minimum salary","Public university","No","NA","Indifferent","Women","Homens são facilmente contratados e/ou promovidos","Homens são facilmente selecionados para cargos de coordenação","Yes","Você já perdeu alguma promoção/benefício (bolsa produtividade) para algum homem, mesmo que tenha se empenhado igualmente., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.)., Você já sofreu alguma discriminação por estar grávida ou por ser mulher e poder engravidar.","Yes","A situação não foi exposta.","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal","Neutro","Neutro","Acelerador","Grande Acelerador","Impedimento","Neutro","Neutro","Impedimento","Grande impedimento","Impedimento","Impedimento","<1","Yes","2","No","Yes","Não se aplica","Sucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"81","R130","Mulher cisgênera","Mixed","20-29","Brasil","Distrito Federal","Brasília","Brasil","Distrito Federal","Brasília",TRUE,FALSE,FALSE,"Yes","Escolha de programa de pós-graduação, Escolha de programa em graduação (graduação sanduíche)","Companheiro(a)/outra pessoa não se mudou, mas o relacionamento permaneceu intacto","Com minha família de origem/parentes (mãe, pai, irmã/o, tia/o, prima/o, etc)","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","Mestrado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","1-2 minimum salary","Public university","No","NA","Primordially female","Men","Homens são facilmente contratados e/ou promovidos","Há mais homens que mulheres em meu departamento","Yes","Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Women","The person represented a small impediment to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal","Neutro","Neutro","Impedimento","Neutro","Impedimento","Impedimento","Impedimento","Grande impedimento","Grande impedimento","Grande impedimento","Impedimento","<1","No","NA","Yes","Yes","Não tenho filhos","Very unsucessfull","No","Women","Master_PhD_Candidate","Junior"
"82","R131","Mulher cisgênera","White","30-39","Brasil","São Paulo","Murutinga do sul","Brasil","São Paulo","São Paulo",TRUE,TRUE,FALSE,"Yes","Começou o contrato como professor(a) temporária/professora efetiva","Companheiro(a)/outra pessoa significativa mudou-se comigo, com efeitos negativos mínimos sobre relação, Filhos mudaram, com nenhum ou mínimos efeitos negativos","Com minha/meu companheira/o, Com minha(s)/meu(s) filha(s)/filho(s)","São feitas por uma ajuda paga","Ciências Biológicas","Nenhuma das anteriores, mas faço pesquisa na área de ecologia","Professor(a) assistente","Menos de 1 ano",">10 minimum salary","Public university","No","NA","Primordially female","Both","Homens são facilmente contratados e/ou promovidos","Há mais mulheres que homens no meu departamento, Homens são facilmente selecionados para cargos de coordenação","Yes","Algum homem já levou o crédito pelo trabalho feito por você., Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.)., Você já sofreu alguma discriminação por estar grávida ou por ser mulher e poder engravidar.","No","NA","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal","Não impactou","Não impactou","Não impactou","Não impactou","Grande impedimento","Grande impedimento","Impedimento","Não impactou","Impedimento","Impedimento","Grande Acelerador","4-7.9","Yes","1","No","Yes","Companheiro(a) ou cônjuge cuida da(s) criança(s) no campo","Sucessfull","Didnt answer","Women","Professor","Junior"
"83","R132","Mulher cisgênera","White","20-29","Brasil","São Paulo","Pitangueiras","Brasil","Paraná","Curitiba",TRUE,FALSE,FALSE,"Yes","Escolha de programa de pós-graduação, Maior ênfase na pesquisa, Melhor qualidade de vida","Companheiro(a)/outra pessoa significativa não se mudou comigo e o relacionamento sofreu efeitos adversos","Com amiga/o(s) ou colega/o(s)","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","TCC na área de ecologia, Mestrado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","Menos de 1 ano","2-3 minimum salary","Public university","Yes","Estágio de pós graduação pelo município","Primordially female","Women","Mulheres não são facilmente contratadas e/ou promovidas","Há mais homens que mulheres em meu departamento","Yes","Algum homem já levou o crédito pelo trabalho feito por você., Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que o seu gênero foi decisivo ao não conseguir algum trabalho de liderança., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","Yes","A situação não foi exposta.","Men","The person made a small contribution to my success","Prefiro não responder","Prefiro não responder","Impedimento","Impedimento","Grande impedimento","Impedimento","Impedimento","Impedimento","Impedimento","Grande impedimento","Grande impedimento","Grande impedimento","Grande impedimento","1-3.9","No","NA","Yes","Yes","Prefiro não responder","Sucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"84","R133","Mulher cisgênera","Mixed","20-29","Brasil","Pará","Belém","Brasil","Pará","Belém",TRUE,TRUE,TRUE,"Yes","Não se aplica","Não se aplica","Com minha família de origem/parentes (mãe, pai, irmã/o, tia/o, prima/o, etc)","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","Mestrado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","1-2 minimum salary","Public research institution","No","NA","Indifferent","Men","Não se aplica","Há mais homens que mulheres em meu departamento","Yes","Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião.","No","NA","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência","Neutro","Neutro","Impedimento","Impedimento","Impedimento","Impedimento","Neutro","Neutro","Impedimento","Impedimento","Neutro","1-3.9","No","NA","Yes","Yes","Não tenho filhos","Unsucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"85","R136","Mulher cisgênera","White","20-29","Brasil","Rio Grande Do Sul","Palmeira das Missões","Brasil","Rio Grande Do Sul","Santa Maria",TRUE,TRUE,FALSE,"Yes","Mudança de companheiro(a)/outra pessoa significativa, Maior ênfase na pesquisa, Melhor qualidade de vida","Não se aplica","Com minha/meu companheira/o","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","Doutorado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","2-3 minimum salary","Public university","No","NA","Primordially female","Women","Homens são facilmente contratados e/ou promovidos","Homens são facilmente selecionados para cargos de coordenação","Yes","Algum homem já levou o crédito pelo trabalho feito por você., Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.)., Você já sofreu alguma discriminação por estar grávida ou por ser mulher e poder engravidar.","No","NA","Women","The person made a small contribution to my success","Ainda estou no meio acadêmico","Preocupações com a segurança pessoal, Companhia, Alternativa para proporcionar experiência educacional","Neutro","Neutro","Impedimento","Impedimento","Impedimento","Neutro","Neutro","Grande impedimento","Grande impedimento","Impedimento","Impedimento","<1","No","NA","Yes","Yes","Não tenho filhos","Sucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"86","R137","Mulher cisgênera","White","20-29","Brasil","Rio De Janeiro","Três Rios","Brasil","Minas Gerais","Juíz de fora",TRUE,FALSE,FALSE,"Yes","Não se aplica","Não se aplica","Sozinho(a)","São feitas por mim","Ciências Biológicas","Mestrado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","1-2 minimum salary","Public university","No","NA","Indifferent","Both","Homens são facilmente contratados e/ou promovidos","Há mais homens que mulheres em meu departamento","Yes","Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Men","The person made a small contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal, Companhia, Alternativa para proporcionar experiência educacional","Não impactou","Não impactou","Impedimento","Não impactou","Impedimento","Acelerador","Não impactou","Impedimento","Impedimento","Impedimento","Não impactou","0","No","NA","Yes","Yes","Não tenho filhos","Unsucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"87","R139","Mulher cisgênera","White","20-29","Brasil","Rio Grande Do Sul","Rosário do Sul","Brasil","Rio Grande Do Sul","Porto Alegre",TRUE,TRUE,FALSE,"Yes","Escolha de programa de pós-graduação, Maior ênfase na pesquisa","Companheiro(a)/outra pessoa significativa mudou-se comigo, com efeitos negativos mínimos sobre relação","Com minha/meu companheira/o","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","TCC na área de ecologia, Mestrado na área de ecologia (concluído ou em andamento), Doutorado na área de ecologia (concluído ou em andamento)","Pesquisador(a) de mestrado/doutorado","3 a 6 anos","1-2 minimum salary","Private university","No","NA","Primordially female","Men","Homens são facilmente contratados e/ou promovidos, Mulheres não são facilmente contratadas e/ou promovidas","Não se aplica","No","Algum homem já levou o crédito pelo trabalho feito por você., Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que o seu gênero foi decisivo ao não conseguir algum trabalho de liderança., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Women","The person made a small contribution to my success","Nenhuma posição científica disponível, Falta apoio financeiro (Concursos e/ou editais de pós-doutorado), Perdi o interesse pela pesquisa, Situações de discriminação de gênero, Situações de assédio moral","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal, Companhia","Não impactou","Acelerador","Acelerador","Neutro","Impedimento","Neutro","Impedimento","Impedimento","Grande impedimento","Grande impedimento","Impedimento","<1","No","NA","Yes","No","Não tenho filhos","Unsucessfull","No","Women","Master_PhD_Candidate","Junior"
